Week #,Year,Without Bonus,% Without Bonus,With Bonus,% With Bonus
659,12.67307692,724,0.724,29,0.029
660,12.69230769,666,0.666,25,0.025
661,12.71153846,603,0.603,21,0.021
662,12.73076923,542,0.542,17,0.017
663,12.75,494,0.494,17,0.017
664,12.76923077,452,0.452,16,0.016
665,12.78846154,416,0.416,15,0.015
666,12.80769231,378,0.378,12,0.012
667,12.82692308,358,0.358,10,0.01
668,12.84615385,312,0.312,10,0.01
669,12.86538462,291,0.291,9,0.009
670,12.88461538,261,0.261,8,0.008
671,12.90384615,233,0.233,6,0.006
672,12.92307692,209,0.209,6,0.006
673,12.94230769,184,0.184,4,0.004
674,12.96153846,165,0.165,3,0.003
675,12.98076923,149,0.149,2,0.002
676,13,143,0.143,0,0
677,13.01923077,127,0.127,0,0
678,13.03846154,117,0.117,0,0
679,13.05769231,102,0.102,0,0
680,13.07692308,92,0.092,0,0
681,13.09615385,81,0.081,0,0
682,13.11538462,74,0.074,0,0
683,13.13461538,62,0.062,0,0
684,13.15384615,57,0.057,0,0
685,13.17307692,47,0.047,0,0
686,13.19230769,39,0.039,0,0
687,13.21153846,37,0.037,0,0
688,13.23076923,34,0.034,0,0
689,13.25,30,0.03,0,0
690,13.26923077,26,0.026,0,0
691,13.28846154,25,0.025,0,0
692,13.30769231,21,0.021,0,0
693,13.32692308,20,0.02,0,0
694,13.34615385,17,0.017,0,0
695,13.36538462,16,0.016,0,0
696,13.38461538,15,0.015,0,0
697,13.40384615,14,0.014,0,0
698,13.42307692,13,0.013,0,0
699,13.44230769,10,0.01,0,0
700,13.46153846,9,0.009,0,0
701,13.48076923,8,0.008,0,0
702,13.5,6,0.006,0,0
703,13.51923077,6,0.006,0,0
704,13.53846154,6,0.006,0,0
705,13.55769231,5,0.005,0,0
706,13.57692308,5,0.005,0,0
707,13.59615385,4,0.004,0,0
708,13.61538462,4,0.004,0,0
709,13.63461538,3,0.003,0,0
710,13.65384615,3,0.003,0,0
711,13.67307692,2,0.002,0,0
712,13.69230769,2,0.002,0,0
713,13.71153846,2,0.002,0,0
714,13.73076923,2,0.002,0,0
715,13.75,2,0.002,0,0
716,13.76923077,1,0.001,0,0
717,13.78846154,1,0.001,0,0
718,13.80769231,1,0.001,0,0
719,13.82692308,1,0.001,0,0
720,13.84615385,0,0,0,0
